DateTime,QR_q0.1,QR_q0.2,QR_q0.3,QR_q0.4,QR_q0.5,QR_q0.6,QR_q0.7,QR_q0.8,QR_q0.9
2023-01-01 00:00:00,64.83999999999999,103.64999999999999,128.37,141.75,165.89000000000001,202.52,291.935,303.54,324.395
2023-01-01 01:00:00,44.980000000000004,92.41,114.39,135.0,151.56,183.63,276.11499999999995,299.56,314.18500000000006
2023-01-01 02:00:00,34.82000000000001,92.44999999999999,113.305,130.25,144.69499999999996,188.59000000000003,269.565,288.53,303.67
2023-01-01 03:00:00,33.54000000000001,76.35,98.005,122.18,134.68,178.97999999999996,248.625,274.06999999999994,288.52000000000004
2023-01-01 04:00:00,35.97,77.6,99.585,122.4,137.535,170.62,242.14000000000001,274.14,287.86
2023-01-01 05:00:00,45.675,85.65,107.37499999999999,135.0,152.965,182.21000000000004,246.64999999999998,287.41,304.17
2023-01-01 06:00:00,81.64999999999999,117.91,151.91,169.45,181.97000000000003,218.52000000000004,269.99,329.32,359.35999999999996
2023-01-01 07:00:00,101.65999999999998,136.89,186.04,206.05,230.36999999999998,259.45,300.46,418.0,453.20000000000005
2023-01-01 08:00:00,124.75,153.99,200.49,221.17,249.68,291.25,330.97499999999997,455.68,490.21999999999997
2023-01-01 09:00:00,116.33500000000001,148.37,186.41000000000003,222.2,243.745,294.94,321.175,447.91999999999996,502.60999999999996
2023-01-01 10:00:00,102.24999999999999,130.85,175.75,214.35000000000002,235.46500000000003,279.8,329.35499999999996,437.00000000000006,492.37499999999994
2023-01-01 11:00:00,99.28500000000001,128.4,169.18499999999997,205.21000000000004,238.77000000000004,253.36,336.33,436.12,488.19
2023-01-01 12:00:00,97.60999999999999,129.37000000000003,165.50000000000003,199.50999999999996,230.205,261.24,341.52,422.4,455.90000000000003
2023-01-01 13:00:00,93.94999999999999,126.96999999999997,169.555,198.85000000000005,220.785,257.29,325.54,424.26000000000005,450.97499999999997
2023-01-01 14:00:00,107.08,135.57,179.855,207.32000000000002,236.6,261.82,322.08500000000004,418.92,457.605
2023-01-01 15:00:00,135.63,149.06999999999996,181.14499999999998,220.58,239.625,283.5,326.21000000000004,436.74,461.95
