DateTime,XGB_365,XGB_365_q0.1,XGB_365_q0.2,XGB_365_q0.3,XGB_365_q0.4,XGB_365_q0.5,XGB_365_q0.6,XGB_365_q0.7,XGB_365_q0.8,XGB_365_q0.9
2023-01-01 00:00:00,42.78960075169802,2.1353107783198624,16.97301944643256,23.14152675837279,32.872987270951256,43.06632442086932,52.70621423244478,62.437674745023244,69.07796906426549,83.44389072507617
2023-01-01 01:00:00,66.17446419000626,28.34977907359601,35.57114374518389,44.61094238579264,54.766666342020045,66.84798098802568,77.58226203799248,87.73798599421988,96.96622772097592,103.99914930641651
2023-01-01 02:00:00,22.893401899933814,-8.903950662016861,8.19660286962985,11.760765400528918,15.59750887274742,23.85113776266578,30.18929492712021,34.02603839933871,38.03319413244727,54.69075446188449
2023-01-01 03:00:00,21.430561429038644,-12.240314948782302,-3.7089384453743754,6.623179349191485,11.148353553786873,24.277959105744937,31.712769304290415,36.237943508885806,47.02911625839769,55.10143780685959
2023-01-01 04:00:00,52.7666533381492,14.66416154198349,29.54305730827157,38.20671066083014,42.31980243153869,55.119058644250075,63.213504244759704,67.32659601546825,77.46303153038025,90.8691451343149
2023-01-01 05:00:00,69.51137067154049,31.04294050022959,45.2249214483797,51.45852624908089,59.75413466170433,71.60929960832,79.26860668137665,87.56421509400009,95.4781403015554,107.97980084285139
2023-01-01 06:00:00,129.36800443544982,61.43452808484429,78.24703617289663,112.24144115760922,119.50471450462933,134.96841145753862,139.2312943662703,146.49456771329042,186.68267113551494,197.30148078605535
2023-01-01 07:00:00,71.38241988882422,-7.138031814247398,20.783943621367207,41.3508014295995,51.27056958541269,71.83303083166484,91.49427019223575,101.41403834804893,122.64791043624277,149.90287159189583
2023-01-01 08:00:00,128.0152230013907,31.63414295807482,56.79122299209237,83.73282627478235,97.52101826414466,132.5019671542943,158.50942773863673,172.29761972799903,206.45673931986093,224.39630304470657
2023-01-01 09:00:00,98.06062275990844,11.71295871183277,51.02350542277098,73.57446388944989,88.51268712028856,99.19555223837502,107.60855839952832,122.546781630367,149.26962716028083,184.4082868079841
