DateTime,LEAR_365,LEAR_365_q0.1,LEAR_365_q0.2,LEAR_365_q0.3,LEAR_365_q0.4,LEAR_365_q0.5,LEAR_365_q0.6,LEAR_365_q0.7,LEAR_365_q0.8,LEAR_365_q0.9
2023-01-01 00:00:00,-10.686714901777094,-53.254844421239085,-37.48965429325452,-30.293214311768935,-21.424996494061816,-10.610414419310885,0.0515666905076273,8.919784508214747,22.57744015675368,31.881414617684896
2023-01-01 01:00:00,-17.450630345307275,-57.832521831203735,-39.4791048539781,-31.91331521337651,-24.047231423275775,-16.527845008440465,-10.854029267338774,-2.987945477238039,7.225329607896015,22.931261140589186
2023-01-01 02:00:00,-31.036606874837616,-64.68177201803039,-53.49813363525769,-47.9361837980573,-39.262247423826,-29.02258114202033,-22.810966325849233,-14.137029951617933,-6.220610141215161,2.6085582683551536
2023-01-01 03:00:00,-43.47068844987732,-77.61793907271269,-66.19502904986888,-59.85506380861231,-55.39332967966559,-41.39539127374934,-31.548047220089053,-27.086313091142337,-20.452565584030687,-9.323437827041957
2023-01-01 04:00:00,-44.83762274926031,-78.21995720199693,-63.32136055078522,-55.46137957144712,-51.012310857043964,-44.75477765503778,-38.66293464147666,-34.213865927073506,-23.707501977417785,-11.45528829652369
2023-01-01 05:00:00,-57.53022203059888,-92.48207808428828,-76.89865149904082,-69.0980580296418,-64.99166015382033,-56.95191738778319,-50.06878390737742,-45.96238603155595,-32.98449781613549,-22.57836597690948
2023-01-01 06:00:00,-68.33116752811264,-119.4043751173849,-96.05510078162648,-84.91740627461672,-77.78680770628239,-65.97050262999784,-58.8755273499429,-51.744928781608564,-40.168820458945575,-17.257959938840386
2023-01-01 07:00:00,-92.13524624812112,-137.56442192673762,-123.65234296454986,-115.2295170738148,-106.2694622381779,-91.71634130221668,-78.00103025806435,-69.04097542242744,-55.409265175528674,-46.70607056950462
2023-01-01 08:00:00,-84.04976542008035,-142.8451844899039,-122.45570708499218,-106.32131905283933,-94.9220089595758,-82.14533659168183,-73.17752188058489,-61.77821178732137,-41.98155720461443,-25.254346350256803
2023-01-01 09:00:00,-73.17817543892534,-118.54934540078472,-108.01947701113721,-102.32418326908117,-87.48507805433673,-71.50676873655942,-58.87127282351395,-44.0321676087695,-37.50723600996059,-27.807005477065957
2023-01-01 10:00:00,-68.99919867730003,-111.63622743612063,-97.05533396537763,-91.58008851969154,-76.19912231007052,-67.39732536268886,-61.79927504452954,-46.418308834908515,-39.09531471006434,-26.362169918479424
2023-01-01 11:00:00,-62.16643589964352,-131.69668262793422,-109.35839110405105,-84.66322606817866,-72.80210250094362,-61.1703169729053,-51.530769298343415,-39.669645731108375,-11.10461758920124,7.363810828647189
2023-01-01 12:00:00,-62.61744856037066,-128.5099583142721,-110.07428208273316,-89.67663337367252,-78.43699522625224,-61.90464392656105,-46.79790189448908,-35.55826374706881,-11.428427415682378,3.2750611935307745
2023-01-01 13:00:00,-77.96348011787913,-128.23586178639064,-116.82737416081588,-102.59729860854632,-89.98665303961545,-75.72252353662401,-65.94030719614281,-53.329661627211934,-38.415635735709515,-27.691098449367615
2023-01-01 14:00:00,-52.97207741953224,-94.05788808725768,-80.41310542422104,-74.60847810539477,-62.42329241255601,-52.487337301386674,-43.52086242650847,-31.335676733669715,-25.21230877355339,-11.886266751806794
2023-01-01 15:00:00,-41.92468354858383,-85.10782796359697,-74.94381652115302,-60.580835168968065,-52.98744502673472,-41.35009195835545,-30.86192207043294,-23.268531928199593,-8.587424042297556,1.258460866429317
2023-01-01 16:00:00,-24.415929006376444,-68.36208281728159,-52.26639287521705,-42.35230877930954,-34.474951958949845,-23.20012039240484,-14.356906053803044,-6.47954923344335,7.156378329094004,19.5302248045287
2023-01-01 17:00:00,19.03692611666054,-30.29526023853282,-8.545175565665716,-0.7014191709082525,10.342577662950816,19.561966089234318,27.73127457037026,38.77527140422933,49.135038073491216,68.3691124718539
2023-01-01 18:00:00,75.65055306149185,18.34789452898457,25.811491088366495,49.70406019738443,65.03745057871524,76.25915982436533,86.26365554426846,101.59704592559928,126.54068204266463,132.95321159399913
2023-01-01 19:00:00,65.79784898997946,15.181332528995235,30.004973325226615,39.289683913366844,54.46340810745488,68.03712506793329,77.13228987250403,92.30601406659207,103.33784752105569,116.41436545096369
2023-01-01 20:00:00,71.01227206351396,22.238593992733314,37.064858027784965,44.88614810386363,59.94471747467546,71.58291808583621,82.07982665235247,97.13839602316429,107.39153399385353,119.78595013429461
2023-01-01 21:00:00,50.52908638629029,2.757512631140557,19.151036760196774,26.82244022180913,38.77976881803099,52.28612045027202,62.27840395454959,74.23573255077144,83.02021231773327,98.30066014144002
2023-01-01 22:00:00,54.28166990249636,12.139620629015468,24.55587658273768,35.890611193150676,46.99602179848958,57.447583802319485,61.56731800650314,72.67272861184205,85.79267081221724,96.42371917597725
2023-01-01 23:00:00,51.39257475995976,8.185376270894068,25.90677186137836,31.162599534564492,44.39813376312439,52.315275206617144,58.38701575679512,71.62254998535502,79.48866766366433,94.59977324902545
2023-01-02 00:00:00,32.28459078482547,-10.283538734636522,5.481651393348045,12.678091374833627,21.546309192540747,32.36089126729168,43.02287237711019,51.89109019481731,59.08753017630289,74.85272030428746
2023-01-02 01:00:00,16.617584438487995,-23.764307047408465,-5.41089007018283,0.9169540931807205,10.018313530301612,17.540369775354804,23.21685534667438,32.31821478379527,38.64605894715882,56.999475924384456
2023-01-02 02:00:00,9.02131026464076,-24.62385487855201,-15.794686468981695,-7.931206638391529,0.7859287679223144,11.035335997458048,17.256691761359207,25.97382716767305,33.837306998263216,42.66647540783353
2023-01-02 03:00:00,13.640325703580544,-24.560362746296775,-9.377797162266091,-4.390849633251673,0.6484808088916907,15.715622879708524,26.632170598269397,31.67150104041276,36.65844856942718,51.84101415345786
2023-01-02 04:00:00,17.425200610361998,-16.654118781402758,-3.70492016148053,5.287735066752475,9.37362018916491,17.508045704584532,25.476781031559085,29.56266615397152,38.555321382204525,51.50452000212675
2023-01-02 05:00:00,24.09523142868602,-11.438299646855114,-0.45049278577737084,11.826133805268,16.4449097794016,24.673536071501704,31.745553077970442,36.36432905210404,48.64095564314941,59.628762504227154
2023-01-02 06:00:00,39.83561677601995,-11.711348204981249,11.673269706852878,19.266882320915812,28.473493818667464,42.19628167413475,51.19773973337243,60.40435123112408,67.99796384518702,91.38258175702114
