,qh1,qh2,qh3,qh4
2024-09-19 00:45:00,77.63,77.63,77.63,148.3
2024-09-19 01:00:00,77.63,77.63,148.3,77.63
2024-09-19 01:15:00,77.63,148.3,77.63,-227.413
2024-09-19 01:30:00,148.3,77.63,-227.413,41.135
2024-09-19 01:45:00,77.63,-227.413,41.135,146.059
2024-09-19 02:00:00,-227.413,41.135,146.059,147.113
2024-09-19 02:15:00,41.135,146.059,147.113,171.253
2024-09-19 02:30:00,146.059,147.113,171.253,166.678
2024-09-19 02:45:00,147.113,171.253,166.678,41.085
2024-09-19 03:00:00,171.253,166.678,41.085,41.085
2024-09-19 03:15:00,166.678,41.085,41.085,66.665
2024-09-19 03:30:00,41.085,41.085,66.665,222.778
2024-09-19 03:45:00,41.085,66.665,222.778,196.097
2024-09-19 04:00:00,66.665,222.778,196.097,236.885
2024-09-19 04:15:00,222.778,196.097,236.885,231.093
2024-09-19 04:30:00,196.097,236.885,231.093,194.384
2024-09-19 04:45:00,236.885,231.093,194.384,146.225
2024-09-19 05:00:00,231.093,194.384,146.225,144.161
2024-09-19 05:15:00,194.384,146.225,144.161,227.64
2024-09-19 05:30:00,146.225,144.161,227.64,145.366
2024-09-19 05:45:00,144.161,227.64,145.366,143.008
2024-09-19 06:00:00,227.64,145.366,143.008,158.038
2024-09-19 06:15:00,145.366,143.008,158.038,238.811
2024-09-19 06:30:00,143.008,158.038,238.811,250.861
2024-09-19 06:45:00,158.038,238.811,250.861,218.87
2024-09-19 07:00:00,238.811,250.861,218.87,177.02
2024-09-19 07:15:00,250.861,218.87,177.02,211.206
2024-09-19 07:30:00,218.87,177.02,211.206,148.766
2024-09-19 07:45:00,177.02,211.206,148.766,207.471
2024-09-19 08:00:00,211.206,148.766,207.471,62.5
2024-09-19 08:15:00,148.766,207.471,62.5,257.289
2024-09-19 08:30:00,207.471,62.5,257.289,221.027
2024-09-19 08:45:00,62.5,257.289,221.027,183.772
2024-09-19 09:00:00,257.289,221.027,183.772,180.51
2024-09-19 09:15:00,221.027,183.772,180.51,158.462
2024-09-19 09:30:00,183.772,180.51,158.462,65.0
2024-09-19 09:45:00,180.51,158.462,65.0,65.0
2024-09-19 10:00:00,158.462,65.0,65.0,143.133
2024-09-19 10:15:00,65.0,65.0,143.133,-74.065
2024-09-19 10:30:00,65.0,143.133,-74.065,-129.136
2024-09-19 10:45:00,143.133,-74.065,-129.136,-113.113
2024-09-19 11:00:00,-74.065,-129.136,-113.113,132.428
2024-09-19 11:15:00,-129.136,-113.113,132.428,146.757
2024-09-19 11:30:00,-113.113,132.428,146.757,139.82
2024-09-19 11:45:00,132.428,146.757,139.82,40.575
2024-09-19 12:00:00,146.757,139.82,40.575,144.608
2024-09-19 12:15:00,139.82,40.575,144.608,30.0
2024-09-19 12:30:00,40.575,144.608,30.0,145.029
2024-09-19 12:45:00,144.608,30.0,145.029,138.724
2024-09-19 13:00:00,30.0,145.029,138.724,142.578
2024-09-19 13:15:00,145.029,138.724,142.578,141.625
2024-09-19 13:30:00,138.724,142.578,141.625,150.449
2024-09-19 13:45:00,142.578,141.625,150.449,205.553
2024-09-19 14:00:00,141.625,150.449,205.553,225.274
2024-09-19 14:15:00,150.449,205.553,225.274,49.515
2024-09-19 14:30:00,205.553,225.274,49.515,211.212
2024-09-19 14:45:00,225.274,49.515,211.212,227.782
2024-09-19 15:00:00,49.515,211.212,227.782,195.408
2024-09-19 15:15:00,211.212,227.782,195.408,190.817
2024-09-19 15:30:00,227.782,195.408,190.817,195.096
2024-09-19 15:45:00,195.408,190.817,195.096,177.154
2024-09-19 16:00:00,190.817,195.096,177.154,204.527
2024-09-19 16:15:00,195.096,177.154,204.527,80.61
2024-09-19 16:30:00,177.154,204.527,80.61,-41.651
2024-09-19 16:45:00,204.527,80.61,-41.651,80.61
2024-09-19 17:00:00,80.61,-41.651,80.61,-56.632
2024-09-19 17:15:00,-41.651,80.61,-56.632,-46.606
2024-09-19 17:30:00,80.61,-56.632,-46.606,-78.957
2024-09-19 17:45:00,-56.632,-46.606,-78.957,-86.005
2024-09-19 18:00:00,-46.606,-78.957,-86.005,-57.419
2024-09-19 18:15:00,-78.957,-86.005,-57.419,-62.29
2024-09-19 18:30:00,-86.005,-57.419,-62.29,-57.019
2024-09-19 18:45:00,-57.419,-62.29,-57.019,-51.54
2024-09-19 19:00:00,-62.29,-57.019,-51.54,-46.375
2024-09-19 19:15:00,-57.019,-51.54,-46.375,-44.122
2024-09-19 19:30:00,-51.54,-46.375,-44.122,-46.942
2024-09-19 19:45:00,-46.375,-44.122,-46.942,-47.906
2024-09-19 20:00:00,-44.122,-46.942,-47.906,-106.661
2024-09-19 20:15:00,-46.942,-47.906,-106.661,77.11
2024-09-19 20:30:00,-47.906,-106.661,77.11,141.319
2024-09-19 20:45:00,-106.661,77.11,141.319,77.11
2024-09-19 21:00:00,77.11,141.319,77.11,136.301
2024-09-19 21:15:00,141.319,77.11,136.301,50.15
2024-09-19 21:30:00,77.11,136.301,50.15,141.129
2024-09-19 21:45:00,136.301,50.15,141.129,143.565
2024-09-19 22:00:00,50.15,141.129,143.565,136.754
2024-09-19 22:15:00,141.129,143.565,136.754,138.948
2024-09-19 22:30:00,143.565,136.754,138.948,189.447
2024-09-19 22:45:00,136.754,138.948,189.447,187.414
2024-09-19 23:00:00,138.948,189.447,187.414,187.445
2024-09-19 23:15:00,189.447,187.414,187.445,189.23
2024-09-19 23:30:00,187.414,187.445,189.23,189.688
2024-09-19 23:45:00,187.445,189.23,189.688,183.95
2024-09-20 00:00:00,189.23,189.688,183.95,76.25
2024-09-20 00:15:00,189.688,183.95,76.25,-271.902
2024-09-20 00:30:00,183.95,76.25,-271.902,-29.021
2024-09-20 00:45:00,76.25,-271.902,-29.021,145.828
2024-09-20 01:00:00,-271.902,-29.021,145.828,144.921
2024-09-20 01:15:00,-29.021,145.828,144.921,148.923
2024-09-20 01:30:00,145.828,144.921,148.923,137.219
2024-09-20 01:45:00,144.921,148.923,137.219,140.993
2024-09-20 02:00:00,148.923,137.219,140.993,150.186
2024-09-20 02:15:00,137.219,140.993,150.186,163.59
2024-09-20 02:30:00,140.993,150.186,163.59,65.625
2024-09-20 02:45:00,150.186,163.59,65.625,65.625
2024-09-20 03:00:00,163.59,65.625,65.625,-38.616
2024-09-20 03:15:00,65.625,65.625,-38.616,-393.948
2024-09-20 03:30:00,65.625,-38.616,-393.948,67.275
2024-09-20 03:45:00,-38.616,-393.948,67.275,153.149
2024-09-20 04:00:00,-393.948,67.275,153.149,150.665
2024-09-20 04:15:00,67.275,153.149,150.665,151.389
2024-09-20 04:30:00,153.149,150.665,151.389,134.86
2024-09-20 04:45:00,150.665,151.389,134.86,136.439
2024-09-20 05:00:00,151.389,134.86,136.439,67.275
2024-09-20 05:15:00,134.86,136.439,67.275,153.303
2024-09-20 05:30:00,136.439,67.275,153.303,144.188
2024-09-20 05:45:00,67.275,153.303,144.188,151.777
2024-09-20 06:00:00,153.303,144.188,151.777,67.275
2024-09-20 06:15:00,144.188,151.777,67.275,196.379
2024-09-20 06:30:00,151.777,67.275,196.379,167.002
2024-09-20 06:45:00,67.275,196.379,167.002,148.767
2024-09-20 07:00:00,196.379,167.002,148.767,-46.796
2024-09-20 07:15:00,167.002,148.767,-46.796,67.275
2024-09-20 07:30:00,148.767,-46.796,67.275,67.275
2024-09-20 07:45:00,-46.796,67.275,67.275,67.275
2024-09-20 08:00:00,67.275,67.275,67.275,130.621
2024-09-20 08:15:00,67.275,67.275,130.621,148.095
2024-09-20 08:30:00,67.275,130.621,148.095,152.927
2024-09-20 08:45:00,130.621,148.095,152.927,146.549
2024-09-20 09:00:00,148.095,152.927,146.549,41.205
2024-09-20 09:15:00,152.927,146.549,41.205,148.869
2024-09-20 09:30:00,146.549,41.205,148.869,43.76
2024-09-20 09:45:00,41.205,148.869,43.76,43.785
2024-09-20 10:00:00,148.869,43.76,43.785,43.785
2024-09-20 10:15:00,43.76,43.785,43.785,138.637
2024-09-20 10:30:00,43.785,43.785,138.637,41.285
2024-09-20 10:45:00,43.785,138.637,41.285,140.437
2024-09-20 11:00:00,138.637,41.285,140.437,-570.23
2024-09-20 11:15:00,41.285,140.437,-570.23,-640.511
2024-09-20 11:30:00,140.437,-570.23,-640.511,-562.792
2024-09-20 11:45:00,-570.23,-640.511,-562.792,-467.75
2024-09-20 12:00:00,-640.511,-562.792,-467.75,41.29
2024-09-20 12:15:00,-562.792,-467.75,41.29,-533.96
2024-09-20 12:30:00,-467.75,41.29,-533.96,150.006
2024-09-20 12:45:00,41.29,-533.96,150.006,146.679
2024-09-20 13:00:00,-533.96,150.006,146.679,138.977
2024-09-20 13:15:00,150.006,146.679,138.977,160.138
2024-09-20 13:30:00,146.679,138.977,160.138,163.601
2024-09-20 13:45:00,138.977,160.138,163.601,154.331
2024-09-20 14:00:00,160.138,163.601,154.331,157.158
2024-09-20 14:15:00,163.601,154.331,157.158,55.995
2024-09-20 14:30:00,154.331,157.158,55.995,57.06
2024-09-20 14:45:00,157.158,55.995,57.06,170.17
2024-09-20 15:00:00,55.995,57.06,170.17,175.378
2024-09-20 15:15:00,57.06,170.17,175.378,156.918
2024-09-20 15:30:00,170.17,175.378,156.918,158.63
2024-09-20 15:45:00,175.378,156.918,158.63,157.035
2024-09-20 16:00:00,156.918,158.63,157.035,161.075
2024-09-20 16:15:00,158.63,157.035,161.075,163.503
2024-09-20 16:30:00,157.035,161.075,163.503,150.9
2024-09-20 16:45:00,161.075,163.503,150.9,150.9
2024-09-20 17:00:00,163.503,150.9,150.9,79.015
2024-09-20 17:15:00,150.9,150.9,79.015,158.711
2024-09-20 17:30:00,150.9,79.015,158.711,79.015
2024-09-20 17:45:00,79.015,158.711,79.015,150.9
2024-09-20 18:00:00,158.711,79.015,150.9,78.03
2024-09-20 18:15:00,79.015,150.9,78.03,150.9
2024-09-20 18:30:00,150.9,78.03,150.9,79.015
2024-09-20 18:45:00,78.03,150.9,79.015,-332.077
2024-09-20 19:00:00,150.9,79.015,-332.077,-472.696
2024-09-20 19:15:00,79.015,-332.077,-472.696,78.965
2024-09-20 19:30:00,-332.077,-472.696,78.965,-205.093
2024-09-20 19:45:00,-472.696,78.965,-205.093,79.015
2024-09-20 20:00:00,78.965,-205.093,79.015,78.965
2024-09-20 20:15:00,-205.093,79.015,78.965,57.06
2024-09-20 20:30:00,79.015,78.965,57.06,55.995
2024-09-20 20:45:00,78.965,57.06,55.995,149.371
2024-09-20 21:00:00,57.06,55.995,149.371,149.03
2024-09-20 21:15:00,55.995,149.371,149.03,-340.027
2024-09-20 21:30:00,149.371,149.03,-340.027,255.971
2024-09-20 21:45:00,149.03,-340.027,255.971,242.308
2024-09-20 22:00:00,-340.027,255.971,242.308,230.151
2024-09-20 22:15:00,255.971,242.308,230.151,225.068
2024-09-20 22:30:00,242.308,230.151,225.068,225.643
2024-09-20 22:45:00,230.151,225.068,225.643,221.72
2024-09-20 23:00:00,225.068,225.643,221.72,223.691
2024-09-20 23:15:00,225.643,221.72,223.691,47.97
2024-09-20 23:30:00,221.72,223.691,47.97,221.211
2024-09-20 23:45:00,223.691,47.97,221.211,221.816
2024-09-21 00:00:00,47.97,221.211,221.816,45.57
2024-09-21 00:15:00,221.211,221.816,45.57,43.0
2024-09-21 00:30:00,221.816,45.57,43.0,43.0
2024-09-21 00:45:00,45.57,43.0,43.0,43.0
2024-09-21 01:00:00,43.0,43.0,43.0,217.601
2024-09-21 01:15:00,43.0,43.0,217.601,194.512
2024-09-21 01:30:00,43.0,217.601,194.512,38.5
2024-09-21 01:45:00,217.601,194.512,38.5,38.5
2024-09-21 02:00:00,194.512,38.5,38.5,38.5
2024-09-21 02:15:00,38.5,38.5,38.5,38.5
2024-09-21 02:30:00,38.5,38.5,38.5,38.5
